,AT,AU,BD,BE,BG,BR,BT,CA,CH,CN,CY,CZ,DE,DK,EE,ES,ET,FI,FR,GB,GR,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KR,LT,LV,ME,MK,MT,MX,MY,NG,NL,NO,NZ,PL,PT,RS,RU,SA,SE,SG,SI,SK,TR,TW,UA,US
FI,20.0,40.0,1.0,75.0,8.0,2.0,1.0,36.0,49.0,7.0,4.0,11.0,248.0,700.0,20.0,49.0,1.0,0.0,86.0,209.0,8.0,5.0,4.0,1.0,27.0,2.0,24.0,1.0,108.0,267.0,3.0,3.0,11.0,5.0,4.0,2.0,3.0,6.0,20.0,1.0,126.0,344.0,13.0,40.0,13.0,12.0,36.0,2.0,348.0,2.0,8.0,4.0,2.0,1.0,9.0,226.0
FR,28.0,10.0,0.0,52.0,16.0,0.0,0.0,15.0,30.0,0.0,2.0,24.0,187.0,66.0,16.0,56.0,0.0,86.0,0.0,136.0,2.0,12.0,8.0,0.0,29.0,0.0,6.0,0.0,10.0,127.0,3.0,1.0,10.0,8.0,8.0,4.0,4.0,0.0,6.0,0.0,90.0,54.0,0.0,30.0,13.0,19.0,0.0,0.0,59.0,2.0,6.0,8.0,0.0,1.0,20.0,89.0
GB,40.0,118.0,0.0,97.0,16.0,14.0,0.0,111.0,46.0,20.0,18.0,26.0,354.0,205.0,14.0,140.0,0.0,209.0,136.0,0.0,20.0,14.0,8.0,0.0,88.0,14.0,20.0,0.0,10.0,178.0,17.0,5.0,8.0,8.0,8.0,4.0,20.0,42.0,20.0,0.0,114.0,181.0,70.0,34.0,34.0,37.0,108.0,0.0,225.0,16.0,20.0,8.0,14.0,5.0,22.0,161.0
GR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,8.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HR,9.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,14.0,9.0,4.0,9.0,0.0,5.0,12.0,14.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,19.0,9.0,0.0,10.0,1.0,8.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0
HU,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,8.0,4.0,6.0,0.0,4.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,18.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0
ID,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
IE,8.0,30.0,0.0,21.0,0.0,4.0,0.0,28.0,11.0,4.0,1.0,3.0,76.0,39.0,7.0,27.0,0.0,27.0,29.0,88.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,12.0,4.0,0.0,14.0,23.0,20.0,6.0,12.0,6.0,0.0,0.0,42.0,0.0,3.0,0.0,4.0,0.0,3.0,18.0
IL,0.0,14.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,10.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
IN,0.0,18.0,2.0,3.0,0.0,2.0,2.0,15.0,7.0,6.0,0.0,0.0,36.0,20.0,0.0,0.0,2.0,24.0,6.0,20.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,3.0,42.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,2.0,15.0,10.0,13.0,6.0,2.0,2.0,0.0,1.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,43.0
